propServerA,propServerB,bestof,model,pointServeRate,pointRate,holdRate,gameRate,setRate,winRate,expPoints,expGames,expSets,tiebreakRate,medianTGames
0.1,0.53,3,static,0.10066,0.31818,0.001415,0.20822,0.00024994,0,26.906,3.1643,0.0005,0.0065484,15
0.1,0.54,3,static,0.099565,0.31189,0.0014243,0.19669,0.00034988,0,25.943,2.944,0.0007,0.0042485,15
0.1,0.55,3,static,0.099462,0.30607,0.001422,0.18499,9.999e-05,0,25.039,2.7272,0.0002,0.0026997,15
0.1,0.56,3,static,0.10002,0.30095,0.0015117,0.17448,0.00014998,0,24.282,2.5394,0.0003,0.0023996,14
0.1,0.57,3,static,0.09962,0.29368,0.0014297,0.16155,0.00014998,0,23.205,2.3142,0.0003,0.0021497,14
0.1,0.58,3,static,0.1001,0.28803,0.0015299,0.15197,0,0,22.433,2.1516,0,0.0012,14
0.1,0.59,3,static,0.099197,0.28306,0.0014066,0.14375,0,0,21.772,2.0155,0,0.00075,14
0.1,0.6,3,static,0.098808,0.27529,0.0013866,0.13113,4.9998e-05,0,20.738,1.8116,0.0001,0.00019999,14
0.1,0.61,3,static,0.10156,0.27027,0.001591,0.12144,0,0,20.084,1.659,0,0.00015,14
0.1,0.62,3,static,0.10014,0.26367,0.0011455,0.11081,0,0,19.274,1.4955,0,0.00015,13
0.1,0.63,3,static,0.09961,0.25715,0.0013366,0.10257,0,0,18.503,1.3717,0,0.00025,13
0.1,0.64,3,static,0.099179,0.25056,0.0013506,0.093786,0,0,17.748,1.242,0,0.00015,13
0.1,0.65,3,static,0.09931,0.24485,0.0014699,0.085849,0,0,17.1,1.127,0,0.0001,13
0.1,0.66,3,static,0.10098,0.23836,0.0014861,0.076522,0,0,16.392,0.9944,0,0,13
0.1,0.67,3,static,0.099881,0.23178,0.001509,0.070343,0,0,15.699,0.908,0,0,13
0.1,0.68,3,static,0.099481,0.22526,0.0016823,0.062998,0,0,15.043,0.8068,0,0,13
0.1,0.69,3,static,0.10038,0.21865,0.0014136,0.054925,0,0,14.377,0.6974,0,0,13
0.1,0.7,3,static,0.10005,0.21268,0.0011062,0.049656,0,0,13.802,0.627,0,0,12
0.1,0.71,3,static,0.10074,0.20795,0.0014271,0.045998,0,0,13.364,0.5786,0,0,12
0.1,0.72,3,static,0.09992,0.2014,0.0015321,0.040859,0,0,12.777,0.5112,0,0,12
0.1,0.73,3,static,0.10039,0.19502,0.0014299,0.035106,0,0,12.207,0.4366,0,0,12
0.1,0.74,3,static,0.10021,0.18847,0.0016143,0.030334,0,0,11.646,0.3754,0,0,12
0.1,0.75,3,static,0.09935,0.18206,0.0015574,0.026108,0,0,11.11,0.3217,0,0,12
0.1,0.76,3,static,0.09995,0.17653,0.0016284,0.022722,0,0,10.66,0.279,0,0,12
0.1,0.77,3,static,0.09962,0.17026,0.0013077,0.018951,0,0,10.164,0.2318,0,0,12
0.1,0.78,3,static,0.099616,0.16423,0.0013774,0.015958,0,0,9.7006,0.1946,0,0,12
0.1,0.79,3,static,0.099346,0.15849,0.0013308,0.013701,0,0,9.268,0.1667,0,0,12
0.1,0.8,3,static,0.10071,0.15384,0.0016803,0.011955,0,0,8.9247,0.1452,0,0,12
0.1,0.81,3,static,0.10044,0.14799,0.0012544,0.009615,0,0,8.499,0.1165,0,0,12
0.1,0.82,3,static,0.099435,0.14162,0.0016698,0.0077889,0,0,8.053,0.0942,0,0,12
0.1,0.83,3,static,0.1012,0.13751,0.001672,0.0067705,0,0,7.7694,0.0818,0,0,12
0.1,0.84,3,static,0.099319,0.13128,0.0014592,0.0052226,0,0,7.3465,0.063,0,0,12
0.1,0.85,3,static,0.099406,0.12564,0.0010622,0.0043064,0,0,6.9742,0.0519,0,0,12
0.1,0.86,3,static,0.10063,0.12117,0.0015446,0.0033885,0,0,6.6819,0.0408,0,0,12
0.1,0.87,3,static,0.099117,0.11463,0.0013798,0.0026927,0,0,6.2627,0.0324,0,0,12
0.1,0.88,3,static,0.10034,0.11032,0.0012637,0.0021205,0,0,5.9931,0.0255,0,0,12
0.1,0.89,3,static,0.099673,0.10486,0.0016798,0.0018964,0,0,5.6563,0.0228,0,0,12
0.11,0.1,3,static,0.10982,0.50319,0.0019631,0.50267,0.53279,0.5482,86.897,16.235,1.3299,0.97977,26
0.11,0.11,3,static,0.10941,0.49991,0.0019674,0.50002,0.49984,0.4979,86.332,16.166,1.2497,0.97696,33
0.11,0.12,3,static,0.10991,0.4969,0.0021315,0.49774,0.47348,0.4593,85.824,16.058,1.1829,0.97106,26
0.11,0.13,3,static,0.11072,0.49393,0.00212,0.4953,0.44614,0.4191,84.948,15.905,1.1112,0.96479,26
0.11,0.14,3,static,0.11002,0.49035,0.0022022,0.49218,0.41193,0.3721,83.692,15.685,1.0204,0.95507,26
0.11,0.15,3,static,0.1097,0.48705,0.0022811,0.48919,0.38043,0.3256,82.981,15.545,0.9416,0.94618,26
0.11,0.16,3,static,0.11038,0.48412,0.0022134,0.48679,0.35722,0.2885,82.001,15.358,0.88,0.93586,26
0.11,0.17,3,static,0.10944,0.48044,0.0019876,0.48367,0.33069,0.2547,80.611,15.083,0.808,0.92171,26
0.11,0.18,3,static,0.11035,0.47737,0.0021643,0.48106,0.30791,0.2287,79.138,14.806,0.7454,0.90536,26
0.11,0.19,3,static,0.11024,0.47397,0.002046,0.47766,0.2838,0.1957,77.592,14.518,0.6823,0.88366,26
0.11,0.2,3,static,0.11035,0.47048,0.0022259,0.4746,0.26111,0.1688,76.224,14.237,0.6228,0.86307,26
0.11,0.21,3,static,0.11002,0.46765,0.0019774,0.47182,0.2426,0.1484,74.95,13.967,0.5738,0.84285,26
0.11,0.22,3,static,0.11021,0.46384,0.0019659,0.46796,0.21957,0.1246,72.954,13.589,0.5132,0.81684,26
0.11,0.23,3,static,0.11005,0.46044,0.0019485,0.46414,0.1976,0.103,71.417,13.256,0.4575,0.78862,26
0.11,0.24,3,static,0.11001,0.45701,0.0022101,0.46085,0.18404,0.0901,69.706,12.939,0.4224,0.7574,26
0.11,0.25,3,static,0.10948,0.45366,0.0023864,0.45705,0.16431,0.0713,68.218,12.621,0.3739,0.72689,26
0.11,0.26,3,static,0.11004,0.44946,0.0022069,0.45169,0.14752,0.0612,66.035,12.171,0.3318,0.68451,26
0.11,0.27,3,static,0.11016,0.44614,0.0022165,0.44731,0.13402,0.0491,64.438,11.828,0.2991,0.64885,26
0.11,0.28,3,static,0.10969,0.44233,0.0019097,0.44252,0.11659,0.0366,62.645,11.459,0.2572,0.61652,25
0.11,0.29,3,static,0.10979,0.43811,0.0021867,0.43663,0.10234,0.0297,60.56,11.023,0.2235,0.5685,23
0.11,0.3,3,static,0.11073,0.43489,0.0020354,0.43191,0.092087,0.0234,59.108,10.701,0.1997,0.53131,23
0.11,0.31,3,static,0.10955,0.43037,0.0019137,0.42515,0.077487,0.0175,56.848,10.233,0.1659,0.48898,23
0.11,0.32,3,static,0.11049,0.4263,0.0022674,0.41842,0.070046,0.0149,55.199,9.8489,0.1491,0.44471,22
0.11,0.33,3,static,0.10974,0.42213,0.002265,0.41188,0.056611,0.0099,53.276,9.4459,0.1192,0.40544,22
0.11,0.34,3,static,0.11032,0.41758,0.0020157,0.40425,0.04814,0.0046,51.575,9.0589,0.1008,0.36262,22
0.11,0.35,3,static,0.10948,0.41336,0.0019465,0.397,0.040191,0.0045,49.918,8.6791,0.0835,0.32542,22
0.11,0.36,3,static,0.10952,0.40881,0.0020051,0.38886,0.03187,0.0032,48.162,8.2899,0.0657,0.28634,21
0.11,0.37,3,static,0.10986,0.40429,0.0020632,0.38021,0.027413,0.0017,46.623,7.9196,0.0563,0.25411,20
0.11,0.38,3,static,0.10969,0.39962,0.0024215,0.37175,0.023794,0.0017,45.14,7.5724,0.0487,0.21855,20
